Course Name,Course Info
451  Introduction to Database Systems ,"3 Course Prerequisite: CPT S 215, 223, or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Introduction to database concepts, data models, database languages, database design, implementation issues.                                                                   "
452  Compiler Design ,"3 Course Prerequisite: CPT S 317 with a C or better; CPT S 355 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Design of lexical analyzers, syntactic analyzers, intermediate code generators, code optimizers and object code generators.                                                                    "
453  Graph Theory ,"3 Course Prerequisite: MATH 220, 225, or 230.  Graphs and their applications, directed graphs, trees, networks, Eulerian and Hamiltonian paths, matrix representations, construction of algorithms. (Crosslisted course offered as MATH 453, MATH 553, CPT S 453, CPT S 553). Required preparation must include linear algebra.  Recommended preparation: MATH 301. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
455  Introduction to Computer Networks ,"3 Course Prerequisite: CPT S 360, 370, or E E 234, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Concepts and implementation of computer networks; architectures, protocol layers, internetworking and addressing case studies. (Crosslisted course offered as CPT S 455, E E 455).                                                                   "
460  Operating Systems and Computer Architecture ,"3 Course Prerequisite: CPT S 360 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering; Software Engineering, or Data Analytics.   Operating systems, computer architectures, and their interrelationships in micro, mini, and large computer systems.                                                                   "
464  Distributed Systems Concepts and Programming ,"3 Course Prerequisite: CPT S 223, 233, or E E 234, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Concepts of distributed systems; naming, security, networking, replication, synchronization, quality of service; programming middleware. Credit not granted for both CPT S 464 and CPT S 564. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
466  Embedded Systems ,"3 (2-3) Course Prerequisite: CPT S 360 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering; Software Engineering, or Data Analytics.   The design and development of real-time and dedicated software systems with an introduction to sensors and actuators. Credit not granted for both CPT S 466 and CPT S 566. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
471  Computational Genomics ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; CPT S 350 with a C or better or concurrent enrollment; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Fundamental algorithms, techniques and applications. Credit not granted for both CPT S 471 and CPT S 571. Offered at 400 and 500 level.                                                                   "
475  Data Science ,"3 Course Prerequisite: CPT S 215, CPT S 223, or CPT S 233, with a C or better.  The data science process, data wrangling, exploratory data analysis, linear regression, classification, clustering, principal components analysis, recommender systems, data visualization, data and ethics, and effective communication. Credit not granted for both CPT S 475 and CPT S 575.  Recommended preparation for 575: Familiarity with algorithm design and analysis, basic linear algebra, and basic probability and statistics. Offered at 400 and 500 level.                                                                   "
476  Software Construction and Maintenance ,"3 Course Prerequisite: CPT S 322 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Software quality, construction (API design and use, object-oriented runtime issues), and maintenance (refactoring, reengineering, reverse engineering).                                                                   "
478  Software Process and Management ,"3 Course Prerequisite: CPT S 322 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Software Engineering Process (definition, assessment, and improvement); Software Engineering Management; Software Configuration Management.                                                                   "
479  Mobile Application Development ,"3 Course Prerequisite: CPT S 223 or 233, with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Mobile application development; user interface; location and maps; sensor; camera; cross platform mobile application development tools.                                                                   "
481  Python Software Construction ,"3 Course Prerequisite: CPT S 223 with a C or better; CPT S 224 or CPT S 360 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.   Intensive introduction to the python language; user interface, building and using extension modules; C interfacing; construction of a major project.                                                                   "
483  Topics in Computer Science ,"V 1-4 May be repeated for credit. Course Prerequisite: Admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics. Required background preparation varies with course offering, see instructor.  Current topics in computer science or software engineering.                                                                   "
484  Software Requirements ,"3 Course Prerequisite: CPT S 322 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Elicitation, analysis, specification, and validation of software requirements as well as the management of requirements during the software life cycle.                                                                   "
485  Gerontechnology I ,"3 Course Prerequisite:  CPT S 215, 223, or 233; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or major in Psychology.  Introduction to the field of gerontechnology, including aging and senses, mobility and exercise, data analysis, and research methods. (Crosslisted course offered as CPT S 485, PSYCH 485).                                                                   "
486  Gerontechnology II ,"3 Course Prerequisite:  CPT S 215, 223, or 233; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, Data Analytics, or major in Psychology.  In-depth exploration of gerontechnology, including socialization, caregiver issues, dementia, app design and data visualization. (Crosslisted course offered as CPT S 486, PSYCH 486).                                                                   "
487  Software Design and Architecture ,"3 Course Prerequisite: CPT S 321 with a C or better; CPT S 322 with a C or better; admitted major or minor in Computer Sci, Computer Engr, Electrical Engr, Software Engr, or Data Analytics. Enrollment not allowed if credit already earned for CPT S 323.  Software design; design principles, patterns, and anti-patterns; design quality attributes and evaluation; architectural styles, architectural patterns and anti-patterns.  Credit not granted for both CPT S 487 and CPT S 587, or for both CPT S 487 and 323. Offered at 400 and 500 level.                                                                   "
488  Professional Practice Coop/Internship I ,"V 1-2 May be repeated for credit; cumulative maximum 6 hours. Course Prerequisite: By department permission.  Practicum for students admitted to the VCEA Professional Practice and Experiential Learning Program; integration of coursework with on-the-job professional experience. (Crosslisted course offered as ENGR 488, BIO ENG 488, CHE 488, CE 488, CPT S 488, E E 488, ME 488, MSE 488, SDC 488).                                                                   S, F grading. "
489  Web Development ,"3 Course Prerequisite: CPT S 322 with a C or better; admitted to the major or minor in Computer Science, Computer Engineering, Electrical Engineering, Software Engineering, or Data Analytics.  Web development using markup languages, style sheet language, and scripting languages; developing and consuming web services; testing web applications.                                                                   "
490  Work Study Internship ,"V 1-9 May be repeated for credit; cumulative maximum 9 hours. Course Prerequisite: Computer Science major; by permission only.   Experience in programming and systems analysis in a working environment under supervision of industrial or governmental professionals and faculty.                                                                    S, F grading. "
499  Special Problems ,"V 1-4 May be repeated for credit.   Independent study conducted under the jurisdiction of an approving faculty member; may include independent research studies in technical or specialized problems; selection and analysis of specified readings; development of a creative project; or field experiences.                                                                   S, F grading. "
500  Proseminar ,"1    Faculty research interests, departmental computer systems, computer science research, report preparation.                                                                    S, F grading. "
515  Advanced Algorithms ,"3   Advanced algorithms and data structures, design and analysis, intractability.                                                                   "
516  Algorithmics ,"3    Discrete structures, automata, formal languages, recursive functions, algorithms, and computability.                                                                   "
527  Computer Security ,"3   Examines cyber vulnerabilities and attacks against computer systems and networks; includes security protection mechanisms, cryptography, secure communication protocols, information flow enforcement, network monitoring, and anonymity techniques.                                                                   "
527 (Effective through Summer 2022)  Computer Security ,"3   Examines cyber vulnerabilities and attacks against computer systems and networks; includes security protection mechanisms, cryptography, secure communication protocols, information flow enforcement, network monitoring, and anonymity techniques. Credit not granted for both CPT S 427 and CPT S 527. Offered at 400 and 500 level.                                                                   "
528  Advanced Cyber Security ,"3   Key aspects of cyber security with an emphasis on software and systems security focusing on concepts, principles, methodologies, and techniques for measuring and defending the various security properties of both operating systems and application software. Credit not granted for both CPT S 428 and CPT S 528. Offered at 400 and 500 level.                                                                   "
530  Numerical Analysis ,"3   Fundamentals of numerical computation; finding zeroes of functions, approximation and interpolation; numerical integration (quadrature); numerical solution of ordinary differential equations. (Crosslisted course offered as MATH 448, MATH 548, CPT S 430, CPT S 530). Required preparation must include differential equations and a programming course. Offered at 400 and 500 level.                                                                   "
531  Advanced Matrix Computations ,"3   Advanced topics in the solution of linear systems, singular value decomposition, and computation of eigenvalues and eigenvectors (Francis's algorithm). (Crosslisted course offered as MATH 544, CPT S 531). Required preparation must include numerical analysis. Cooperative: Open to UI degree-seeking students.                  "
534  Neural Network Design and Application ,"3    Hands-on experience with neural network modeling of nonlinear phenomena; application to classification, forecasting, identification and control. Credit not granted for both CPT S 434 and CPT S 534. Offered at 400 and 500 level.                                                                   "
538  Scientific Visualization ,3    Data taxonomy; sampling; plotting; using and extending a visualization package; designing visualizations; domain-specific techniques.                                                                    
540  Artificial Intelligence ,"3    An introduction to the field of artificial intelligence including heuristic search, knowledge representation, deduction, uncertainty reasoning, learning, and symbolic programming languages. Credit not granted for both CPT S 440 and CPT S 540. Offered at 400 and 500 level.                                                                   "
542  Computer Graphics ,3    Raster operations; transformations and viewing; geometric modeling; visibility and shading; color. Credit not granted for both CPT S 442 and CPT S 542. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  
543  Human-Computer Interaction ,"3    Concepts and methodologies of engineering, social and behavioral sciences to address ergonomic, cognitive, social and cultural factors in the design and evaluation of human-computer systems. Credit not granted for both CPT S 443 and CPT S 543. Offered at 400 and 500 level.                                                                   "
548  Advanced Computer Graphics ,"3    Solid modeling, visual realism, light and color models, advanced surface generation techniques.                                                                   "
550  Parallel Computation ,"3    Parallel machine models, principles for the design of parallel algorithms, interconnection networks, systolic arrays, computational aspects to VLSI. Required preparation must include differential equations and a programming course.                                                                   "
553  Graph Theory ,"3   Graphs and their applications, directed graphs, trees, networks, Eulerian and Hamiltonian paths, matrix representations, construction of algorithms. (Crosslisted course offered as MATH 453, MATH 553, CPT S 453, CPT S 553). Required preparation must include linear algebra.  Recommended preparation: MATH 301. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
555  Computer Communication Networks ,"3    Packet switching networks; multi-access and local-area networks; delay models in data networks; routing and flow control. (Crosslisted course offered as E E 555, CPT S 555).                                                                   "
557  Advanced Computer Networks ,"3    ATM networks, optical WDM networks, and wireless/mobile networks; access, transport, and routing protocols.                                                                   "
560  Operating Systems ,3    Structure of multiprogramming and multiprocessing; efficient allocation of systems resources; design implementation and performance measurement.                                                                   
561  Advanced Computer Architecture ,"3   Instruction set architectures, pipelining and super pipelining, instruction level parallelism, superscalar and VLIW processors, cache memory, thread-level parallelism and VLSI. (Crosslisted course offered as E E 524, CPT S 561).                                                                   "
562  Fault Tolerant Computer Systems ,"3    Fault tolerance aspects involved in design and evaluation of systems; methods of detection and recovery; multicast, middleware, and reconfiguration. (Crosslisted course offered as CPT S 562, E E 562).                                                                   "
564  Distributed Systems Concepts and Programming ,"3    Concepts of distributed systems; naming, security, networking, replication, synchronization, quality of service; programming middleware. Credit not granted for both CPT S 464 and CPT S 564. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  "
566  Embedded Systems ,3 (2-3)    The design and development of real-time and dedicated software systems with an introduction to sensors and actuators. Credit not granted for both CPT S 466 and CPT S 566. Offered at 400 and 500 level. Cooperative: Open to UI degree-seeking students.                  
570  Machine Learning ,3    Introduction to building computer systems that learn from their experience; classification and regression problems; unsupervised and reinforcement learning.                                                                   
571  Computational Genomics ,"3    Fundamental algorithms, techniques and applications. Credit not granted for both CPT S 471 and CPT S 571. Offered at 400 and 500 level.                                                                   "
572  Numerical Methods in Computational Biology ,3    Computational methods for solving scientific problems related to information processing in biological systems at the molecular and cellular levels.                                                                   
573  Bioinformatics Software Development ,3    Provides programming skills needed to address current computational problems in bioinformatics; emphasis on mathematical development and software design.                                                                   
575  Data Science ,"3   The data science process, data wrangling, exploratory data analysis, linear regression, classification, clustering, principal components analysis, recommender systems, data visualization, data and ethics, and effective communication. Credit not granted for both CPT S 475 and CPT S 575.  Recommended preparation for 575: Familiarity with algorithm design and analysis, basic linear algebra, and basic probability and statistics. Offered at 400 and 500 level.                                                                   "
577  Structured Prediction: Algorithms and Applications ,"3   Machine learning algorithms to predict structured outputs from structured inputs for diverse applications, including: natural language processing, computer vision, social networks, smart environments, and computer engineering.                                                                   "
580  Advanced Topics in Computer Science ,3 May be repeated for credit.                                                                      
581  Software Maintenance ,"3   Software maintenance, refactoring, reengineering, reverse engineering.                                                                   "
582  Software Testing ,"3   Software testing, testing levels, testing objectives, testing techniques.                                                                   "
583  Software Quality ,"3   Software quality, quality assurance, process and product quality, software measures, quality attributes, quality management.                                                                   "
587  Software Design and Architecture ,"3   Software design; design principles, patterns, and anti-patterns; design quality attributes and evaluation; architectural styles, architectural patterns and anti-patterns.  Credit not granted for both CPT S 487 and CPT S 587, or for both CPT S 487 and 323. Offered at 400 and 500 level.                                                                   "
591  Elements of Network Science ,"3   Fundamental elements of the emerging science of complex networks, with emphasis on social and information networks. Recommended preparation: CPT S 350 with a C or better.                                                                   "
595  Directed Study in Computer Science ,V 1 (0-3) to 3 (0-9) May be repeated for credit; cumulative maximum 6 hours.    Current topics in computer science.                                                                    
600  Special Projects or Independent Study ,"V 1-18 May be repeated for credit.   Independent study, special projects, and/or internships. Students must have graduate degree-seeking status and should check with their major advisor before enrolling in 600 credit, which cannot be used toward the core graded credits required for a graduate degree.                                                                   S, F grading. "
"700  Master's Research, Thesis, and/or Examination ","V 1-18 May be repeated for credit.   Independent research and advanced study for students working on their master's research, thesis and/or final examination. Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 700 credit.                                                                   S, U grading. "
"702  Master's Special Problems, Directed Study, and/or Examination ","V 1-18 May be repeated for credit.   Independent research in special problems, directed study, and/or examination credit for students in a non-thesis master's degree program.  Students must have graduate degree-seeking status and should check with their major advisor/committee chair before enrolling for 702 credit.                                                                   S, U grading. "
"800  Doctoral Research, Dissertation, and/or Examination ",
